(2020-12-01 16:00:20,075) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,075) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,075) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,076) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,077) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,077) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,077) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,078) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,083) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,084) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,084) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,084) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,084) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,085) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,085) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,085) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,085) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,085) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,086) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,086) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,086) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,086) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,086) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,087) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,087) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,087) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,087) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,087) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,088) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,088) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,088) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,088) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,088) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,089) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,089) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,089) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,089) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,089) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,090) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,090) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,090) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,090) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,091) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,091) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,091) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,091) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,091) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,092) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,092) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,092) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,092) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,092) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,092) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,093) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,093) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,093) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,093) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,093) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,094) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,094) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,094) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,094) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,094) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,095) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,095) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,095) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,095) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,095) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,096) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,096) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,096) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,096) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4001 [FAILED]
(2020-12-01 16:00:20,096) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,097) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,097) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,097) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,097) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
(2020-12-01 16:00:20,098) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4002 [FAILED]
(2020-12-01 16:00:20,098) [INFO] Allotting task-{'task_id': '9_M2', 'duration': 4} to 4000 [FAILED]
